#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   137    0.39050E+04   -0.41688E+02    0.16987E-05   -0.41688E+02    0.10123E+01   -0.53269E-08    0.16987E-05   -0.53269E-08    0.31815E-11
   138    0.39398E+04   -0.41884E+02    0.16716E-05   -0.41884E+02    0.10106E+01   -0.52090E-08    0.16716E-05   -0.52090E-08    0.31122E-11
   139    0.39743E+04   -0.42057E+02    0.16451E-05   -0.42057E+02    0.10086E+01   -0.50939E-08    0.16451E-05   -0.50939E-08    0.30448E-11
   140    0.40088E+04   -0.42209E+02    0.16192E-05   -0.42209E+02    0.10060E+01   -0.49817E-08    0.16192E-05   -0.49817E-08    0.29793E-11
   141    0.40430E+04   -0.42337E+02    0.15938E-05   -0.42337E+02    0.10029E+01   -0.48726E-08    0.15938E-05   -0.48726E-08    0.29156E-11
   142    0.40772E+04   -0.42442E+02    0.15689E-05   -0.42442E+02    0.99932E+00   -0.47669E-08    0.15689E-05   -0.47669E-08    0.28536E-11
   143    0.41113E+04   -0.42525E+02    0.15446E-05   -0.42525E+02    0.99537E+00   -0.46647E-08    0.15446E-05   -0.46647E-08    0.27933E-11
   144    0.41451E+04   -0.42583E+02    0.15208E-05   -0.42583E+02    0.99094E+00   -0.45663E-08    0.15208E-05   -0.45663E-08    0.27346E-11
   145    0.41787E+04   -0.42618E+02    0.14975E-05   -0.42618E+02    0.98617E+00   -0.44719E-08    0.14975E-05   -0.44719E-08    0.26776E-11
   146    0.42123E+04   -0.42628E+02    0.14746E-05   -0.42628E+02    0.98085E+00   -0.43817E-08    0.14746E-05   -0.43817E-08    0.26220E-11
   147    0.42455E+04   -0.42612E+02    0.14522E-05   -0.42612E+02    0.97521E+00   -0.42959E-08    0.14522E-05   -0.42959E-08    0.25678E-11
   148    0.42785E+04   -0.42572E+02    0.14302E-05   -0.42572E+02    0.96910E+00   -0.42148E-08    0.14302E-05   -0.42148E-08    0.25151E-11
   149    0.43114E+04   -0.42506E+02    0.14086E-05   -0.42506E+02    0.96260E+00   -0.41385E-08    0.14086E-05   -0.41385E-08    0.24637E-11
   150    0.43439E+04   -0.42412E+02    0.13874E-05   -0.42412E+02    0.95579E+00   -0.40673E-08    0.13874E-05   -0.40673E-08    0.24136E-11
   151    0.43761E+04   -0.42294E+02    0.13667E-05   -0.42294E+02    0.94860E+00   -0.40013E-08    0.13667E-05   -0.40013E-08    0.23647E-11
