#    L    TT             EE             TE             PP             TP          
   217    0.58129E+04    0.82555E+00    0.10455E+02    0.25223E+07    0.25235E+04
   218    0.58145E+04    0.84620E+00    0.12064E+02    0.25102E+07    0.25032E+04
   219    0.58155E+04    0.86835E+00    0.13687E+02    0.24982E+07    0.24831E+04
   220    0.58158E+04    0.89213E+00    0.15320E+02    0.24863E+07    0.24632E+04
   221    0.58155E+04    0.91749E+00    0.16964E+02    0.24744E+07    0.24435E+04
   222    0.58147E+04    0.94456E+00    0.18620E+02    0.24627E+07    0.24239E+04
   223    0.58130E+04    0.97327E+00    0.20286E+02    0.24510E+07    0.24045E+04
   224    0.58109E+04    0.10036E+01    0.21960E+02    0.24394E+07    0.23853E+04
   225    0.58080E+04    0.10358E+01    0.23644E+02    0.24279E+07    0.23662E+04
   226    0.58046E+04    0.10697E+01    0.25334E+02    0.24165E+07    0.23472E+04
   227    0.58005E+04    0.11055E+01    0.27033E+02    0.24052E+07    0.23285E+04
   228    0.57958E+04    0.11430E+01    0.28738E+02    0.23940E+07    0.23098E+04
   229    0.57905E+04    0.11825E+01    0.30448E+02    0.23828E+07    0.22914E+04
   230    0.57845E+04    0.12238E+01    0.32164E+02    0.23717E+07    0.22731E+04
   231    0.57778E+04    0.12670E+01    0.33884E+02    0.23608E+07    0.22549E+04
   232    0.57705E+04    0.13121E+01    0.35608E+02    0.23499E+07    0.22369E+04
   233    0.57627E+04    0.13593E+01    0.37334E+02    0.23390E+07    0.22190E+04
   234    0.57541E+04    0.14085E+01    0.39063E+02    0.23283E+07    0.22012E+04
   235    0.57449E+04    0.14597E+01    0.40792E+02    0.23176E+07    0.21837E+04
   236    0.57350E+04    0.15129E+01    0.42522E+02    0.23070E+07    0.21662E+04
   237    0.57245E+04    0.15683E+01    0.44252E+02    0.22965E+07    0.21489E+04
   238    0.57134E+04    0.16258E+01    0.45982E+02    0.22861E+07    0.21317E+04
   239    0.57018E+04    0.16854E+01    0.47710E+02    0.22757E+07    0.21146E+04
   240    0.56894E+04    0.17470E+01    0.49435E+02    0.22654E+07    0.20977E+04
   241    0.56765E+04    0.18109E+01    0.51156E+02    0.22552E+07    0.20809E+04
   242    0.56630E+04    0.18769E+01    0.52874E+02    0.22451E+07    0.20643E+04
   243    0.56489E+04    0.19452E+01    0.54587E+02    0.22350E+07    0.20477E+04
   244    0.56341E+04    0.20157E+01    0.56295E+02    0.22250E+07    0.20313E+04
   245    0.56188E+04    0.20884E+01    0.57996E+02    0.22150E+07    0.20150E+04
   246    0.56029E+04    0.21634E+01    0.59691E+02    0.22052E+07    0.19988E+04
   247    0.55864E+04    0.22406E+01    0.61378E+02    0.21954E+07    0.19828E+04
   248    0.55694E+04    0.23203E+01    0.63056E+02    0.21857E+07    0.19668E+04
   249    0.55518E+04    0.24021E+01    0.64725E+02    0.21760E+07    0.19510E+04
   250    0.55337E+04    0.24864E+01    0.66384E+02    0.21664E+07    0.19353E+04
   251    0.55151E+04    0.25729E+01    0.68032E+02    0.21569E+07    0.19197E+04
   252    0.54957E+04    0.26618E+01    0.69669E+02    0.21474E+07    0.19042E+04
   253    0.54761E+04    0.27528E+01    0.71294E+02    0.21380E+07    0.18888E+04
   254    0.54559E+04    0.28464E+01    0.72905E+02    0.21287E+07    0.18735E+04
   255    0.54351E+04    0.29421E+01    0.74503E+02    0.21194E+07    0.18584E+04
   256    0.54138E+04    0.30404E+01    0.76089E+02    0.21102E+07    0.18433E+04
   257    0.53921E+04    0.31408E+01    0.77653E+02    0.21010E+07    0.18283E+04
   258    0.53699E+04    0.32437E+01    0.79208E+02    0.20919E+07    0.18135E+04
   259    0.53471E+04    0.33489E+01    0.80741E+02    0.20829E+07    0.17987E+04
   260    0.53240E+04    0.34564E+01    0.82264E+02    0.20739E+07    0.17841E+04
   261    0.53004E+04    0.35661E+01    0.83757E+02    0.20650E+07    0.17696E+04
   262    0.52762E+04    0.36784E+01    0.85241E+02    0.20561E+07    0.17551E+04
   263    0.52519E+04    0.37928E+01    0.86708E+02    0.20473E+07    0.17408E+04
   264    0.52269E+04    0.39096E+01    0.88153E+02    0.20386E+07    0.17266E+04
   265    0.52014E+04    0.40286E+01    0.89566E+02    0.20299E+07    0.17124E+04
   266    0.51756E+04    0.41501E+01    0.90970E+02    0.20213E+07    0.16984E+04
   267    0.51493E+04    0.42736E+01    0.92343E+02    0.20127E+07    0.16845E+04
   268    0.51225E+04    0.43996E+01    0.93701E+02    0.20042E+07    0.16707E+04
   269    0.50953E+04    0.45277E+01    0.95034E+02    0.19958E+07    0.16569E+04
   270    0.50678E+04    0.46581E+01    0.96344E+02    0.19874E+07    0.16433E+04
   271    0.50398E+04    0.47906E+01    0.97630E+02    0.19790E+07    0.16298E+04
   272    0.50117E+04    0.49256E+01    0.98884E+02    0.19707E+07    0.16163E+04
   273    0.49830E+04    0.50624E+01    0.10012E+03    0.19625E+07    0.16030E+04
   274    0.49541E+04    0.52016E+01    0.10132E+03    0.19543E+07    0.15898E+04
   275    0.49247E+04    0.53427E+01    0.10251E+03    0.19462E+07    0.15766E+04
   276    0.48952E+04    0.54860E+01    0.10365E+03    0.19381E+07    0.15636E+04
   277    0.48652E+04    0.56314E+01    0.10478E+03    0.19301E+07    0.15506E+04
   278    0.48349E+04    0.57789E+01    0.10587E+03    0.19221E+07    0.15378E+04
   279    0.48044E+04    0.59284E+01    0.10693E+03    0.19142E+07    0.15250E+04
   280    0.47735E+04    0.60798E+01    0.10797E+03    0.19063E+07    0.15123E+04
   281    0.47425E+04    0.62333E+01    0.10897E+03    0.18985E+07    0.14997E+04
   282    0.47111E+04    0.63885E+01    0.10994E+03    0.18907E+07    0.14873E+04
   283    0.46794E+04    0.65457E+01    0.11088E+03    0.18830E+07    0.14749E+04
   284    0.46476E+04    0.67047E+01    0.11179E+03    0.18753E+07    0.14625E+04
   285    0.46155E+04    0.68657E+01    0.11267E+03    0.18676E+07    0.14503E+04
   286    0.45832E+04    0.70284E+01    0.11351E+03    0.18601E+07    0.14382E+04
   287    0.45506E+04    0.71929E+01    0.11432E+03    0.18525E+07    0.14262E+04
   288    0.45178E+04    0.73591E+01    0.11510E+03    0.18450E+07    0.14142E+04
   289    0.44849E+04    0.75269E+01    0.11584E+03    0.18376E+07    0.14023E+04
   290    0.44517E+04    0.76962E+01    0.11655E+03    0.18302E+07    0.13905E+04
   291    0.44185E+04    0.78678E+01    0.11722E+03    0.18228E+07    0.13789E+04
