#    L    TT             EE             BB             TE          
   277    0.48538E+04    0.56730E+01    0.27539E-01    0.10414E+03
   278    0.48237E+04    0.58200E+01    0.27706E-01    0.10521E+03
   279    0.47933E+04    0.59689E+01    0.27873E-01    0.10625E+03
   280    0.47625E+04    0.61198E+01    0.28038E-01    0.10728E+03
   281    0.47316E+04    0.62726E+01    0.28204E-01    0.10827E+03
   282    0.47003E+04    0.64272E+01    0.28368E-01    0.10922E+03
   283    0.46688E+04    0.65837E+01    0.28532E-01    0.11015E+03
   284    0.46371E+04    0.67421E+01    0.28695E-01    0.11104E+03
   285    0.46052E+04    0.69024E+01    0.28857E-01    0.11190E+03
   286    0.45730E+04    0.70643E+01    0.29019E-01    0.11272E+03
   287    0.45405E+04    0.72279E+01    0.29180E-01    0.11352E+03
   288    0.45079E+04    0.73933E+01    0.29340E-01    0.11428E+03
   289    0.44751E+04    0.75602E+01    0.29500E-01    0.11501E+03
   290    0.44422E+04    0.77287E+01    0.29658E-01    0.11571E+03
   291    0.44091E+04    0.78993E+01    0.29817E-01    0.11636E+03
   292    0.43755E+04    0.80710E+01    0.29974E-01    0.11698E+03
   293    0.43422E+04    0.82435E+01    0.30131E-01    0.11756E+03
   294    0.43085E+04    0.84182E+01    0.30287E-01    0.11812E+03
   295    0.42749E+04    0.85935E+01    0.30442E-01    0.11863E+03
   296    0.42410E+04    0.87711E+01    0.30597E-01    0.11911E+03
   297    0.42070E+04    0.89487E+01    0.30750E-01    0.11955E+03
   298    0.41729E+04    0.91284E+01    0.30903E-01    0.11995E+03
   299    0.41387E+04    0.93096E+01    0.31056E-01    0.12032E+03
   300    0.41044E+04    0.94907E+01    0.31207E-01    0.12064E+03
   301    0.40701E+04    0.96733E+01    0.31358E-01    0.12093E+03
   302    0.40357E+04    0.98566E+01    0.31508E-01    0.12119E+03
   303    0.40013E+04    0.10041E+02    0.31657E-01    0.12140E+03
   304    0.39668E+04    0.10227E+02    0.31805E-01    0.12157E+03
   305    0.39324E+04    0.10414E+02    0.31953E-01    0.12170E+03
   306    0.38978E+04    0.10600E+02    0.32099E-01    0.12180E+03
   307    0.38633E+04    0.10788E+02    0.32245E-01    0.12185E+03
   308    0.38288E+04    0.10977E+02    0.32390E-01    0.12188E+03
   309    0.37944E+04    0.11166E+02    0.32535E-01    0.12185E+03
   310    0.37599E+04    0.11355E+02    0.32678E-01    0.12179E+03
   311    0.37255E+04    0.11546E+02    0.32821E-01    0.12169E+03
   312    0.36912E+04    0.11736E+02    0.32964E-01    0.12155E+03
   313    0.36569E+04    0.11927E+02    0.33105E-01    0.12137E+03
   314    0.36227E+04    0.12118E+02    0.33246E-01    0.12116E+03
   315    0.35886E+04    0.12308E+02    0.33386E-01    0.12090E+03
   316    0.35546E+04    0.12500E+02    0.33525E-01    0.12060E+03
   317    0.35206E+04    0.12690E+02    0.33664E-01    0.12027E+03
