#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   141    0.41379E+04   -0.45140E+02    0.20093E-05   -0.45140E+02    0.11192E+01   -0.55129E-08    0.20093E-05   -0.55129E-08    0.41131E-11
   142    0.41727E+04   -0.45367E+02    0.19768E-05   -0.45367E+02    0.11181E+01   -0.53958E-08    0.19768E-05   -0.53958E-08    0.40315E-11
   143    0.42074E+04   -0.45574E+02    0.19450E-05   -0.45574E+02    0.11166E+01   -0.52811E-08    0.19450E-05   -0.52811E-08    0.39519E-11
   144    0.42419E+04   -0.45759E+02    0.19138E-05   -0.45759E+02    0.11146E+01   -0.51692E-08    0.19138E-05   -0.51692E-08    0.38744E-11
   145    0.42763E+04   -0.45921E+02    0.18833E-05   -0.45921E+02    0.11122E+01   -0.50609E-08    0.18833E-05   -0.50609E-08    0.37989E-11
   146    0.43107E+04   -0.46061E+02    0.18534E-05   -0.46061E+02    0.11091E+01   -0.49567E-08    0.18534E-05   -0.49567E-08    0.37252E-11
   147    0.43448E+04   -0.46178E+02    0.18241E-05   -0.46178E+02    0.11057E+01   -0.48571E-08    0.18241E-05   -0.48571E-08    0.36534E-11
   148    0.43787E+04   -0.46272E+02    0.17954E-05   -0.46272E+02    0.11018E+01   -0.47629E-08    0.17954E-05   -0.47629E-08    0.35833E-11
   149    0.44125E+04   -0.46342E+02    0.17672E-05   -0.46342E+02    0.10973E+01   -0.46745E-08    0.17672E-05   -0.46745E-08    0.35149E-11
   150    0.44461E+04   -0.46385E+02    0.17396E-05   -0.46385E+02    0.10926E+01   -0.45926E-08    0.17396E-05   -0.45926E-08    0.34481E-11
   151    0.44795E+04   -0.46406E+02    0.17126E-05   -0.46406E+02    0.10873E+01   -0.45175E-08    0.17126E-05   -0.45175E-08    0.33829E-11
   152    0.45126E+04   -0.46402E+02    0.16860E-05   -0.46402E+02    0.10815E+01   -0.44491E-08    0.16860E-05   -0.44491E-08    0.33192E-11
   153    0.45455E+04   -0.46371E+02    0.16599E-05   -0.46371E+02    0.10754E+01   -0.43868E-08    0.16599E-05   -0.43868E-08    0.32570E-11
   154    0.45782E+04   -0.46316E+02    0.16343E-05   -0.46316E+02    0.10688E+01   -0.43303E-08    0.16343E-05   -0.43303E-08    0.31962E-11
   155    0.46107E+04   -0.46235E+02    0.16092E-05   -0.46235E+02    0.10619E+01   -0.42790E-08    0.16092E-05   -0.42790E-08    0.31368E-11
   156    0.46428E+04   -0.46128E+02    0.15846E-05   -0.46128E+02    0.10546E+01   -0.42326E-08    0.15846E-05   -0.42326E-08    0.30788E-11
   157    0.46749E+04   -0.45995E+02    0.15604E-05   -0.45995E+02    0.10469E+01   -0.41905E-08    0.15604E-05   -0.41905E-08    0.30222E-11
   158    0.47066E+04   -0.45835E+02    0.15368E-05   -0.45835E+02    0.10390E+01   -0.41523E-08    0.15368E-05   -0.41523E-08    0.29669E-11
   159    0.47380E+04   -0.45649E+02    0.15135E-05   -0.45649E+02    0.10305E+01   -0.41177E-08    0.15135E-05   -0.41177E-08    0.29129E-11
   160    0.47692E+04   -0.45435E+02    0.14907E-05   -0.45435E+02    0.10218E+01   -0.40860E-08    0.14907E-05   -0.40860E-08    0.28602E-11
   161    0.48001E+04   -0.45195E+02    0.14683E-05   -0.45195E+02    0.10129E+01   -0.40570E-08    0.14683E-05   -0.40570E-08    0.28087E-11
   162    0.48308E+04   -0.44928E+02    0.14464E-05   -0.44928E+02    0.10035E+01   -0.40301E-08    0.14464E-05   -0.40301E-08    0.27584E-11
   163    0.48612E+04   -0.44634E+02    0.14248E-05   -0.44634E+02    0.99393E+00   -0.40049E-08    0.14248E-05   -0.40049E-08    0.27093E-11
   164    0.48912E+04   -0.44313E+02    0.14037E-05   -0.44313E+02    0.98410E+00   -0.39810E-08    0.14037E-05   -0.39810E-08    0.26614E-11
   165    0.49210E+04   -0.43964E+02    0.13830E-05   -0.43964E+02    0.97397E+00   -0.39579E-08    0.13830E-05   -0.39579E-08    0.26145E-11
   166    0.49505E+04   -0.43588E+02    0.13627E-05   -0.43588E+02    0.96370E+00   -0.39351E-08    0.13627E-05   -0.39351E-08    0.25687E-11
   167    0.49798E+04   -0.43185E+02    0.13427E-05   -0.43185E+02    0.95307E+00   -0.39123E-08    0.13427E-05   -0.39123E-08    0.25240E-11
   168    0.50085E+04   -0.42754E+02    0.13231E-05   -0.42754E+02    0.94245E+00   -0.38889E-08    0.13231E-05   -0.38889E-08    0.24803E-11
   169    0.50370E+04   -0.42294E+02    0.13039E-05   -0.42294E+02    0.93153E+00   -0.38645E-08    0.13039E-05   -0.38645E-08    0.24376E-11
   170    0.50651E+04   -0.41807E+02    0.12850E-05   -0.41807E+02    0.92055E+00   -0.38387E-08    0.12850E-05   -0.38387E-08    0.23958E-11
   171    0.50928E+04   -0.41290E+02    0.12665E-05   -0.41290E+02    0.90951E+00   -0.38111E-08    0.12665E-05   -0.38111E-08    0.23550E-11
   172    0.51200E+04   -0.40745E+02    0.12483E-05   -0.40745E+02    0.89833E+00   -0.37811E-08    0.12483E-05   -0.37811E-08    0.23150E-11
   173    0.51468E+04   -0.40173E+02    0.12305E-05   -0.40173E+02    0.88702E+00   -0.37483E-08    0.12305E-05   -0.37483E-08    0.22760E-11
   174    0.51732E+04   -0.39572E+02    0.12130E-05   -0.39572E+02    0.87587E+00   -0.37124E-08    0.12130E-05   -0.37124E-08    0.22377E-11
   175    0.51992E+04   -0.38943E+02    0.11958E-05   -0.38943E+02    0.86458E+00   -0.36727E-08    0.11958E-05   -0.36727E-08    0.22003E-11
   176    0.52247E+04   -0.38285E+02    0.11788E-05   -0.38285E+02    0.85339E+00   -0.36291E-08    0.11788E-05   -0.36291E-08    0.21636E-11
   177    0.52497E+04   -0.37599E+02    0.11622E-05   -0.37599E+02    0.84222E+00   -0.35816E-08    0.11622E-05   -0.35816E-08    0.21277E-11
