#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   159    0.41779E+04   -0.38897E+02    0.12024E-05   -0.38897E+02    0.91143E+00   -0.39282E-08    0.12024E-05   -0.39282E-08    0.30235E-11
   160    0.42031E+04   -0.38455E+02    0.11837E-05   -0.38455E+02    0.89905E+00   -0.38296E-08    0.11837E-05   -0.38296E-08    0.29638E-11
   161    0.42280E+04   -0.37985E+02    0.11653E-05   -0.37985E+02    0.88660E+00   -0.37342E-08    0.11653E-05   -0.37342E-08    0.29055E-11
   162    0.42525E+04   -0.37488E+02    0.11473E-05   -0.37488E+02    0.87395E+00   -0.36419E-08    0.11473E-05   -0.36419E-08    0.28486E-11
   163    0.42767E+04   -0.36961E+02    0.11296E-05   -0.36961E+02    0.86118E+00   -0.35526E-08    0.11296E-05   -0.35526E-08    0.27931E-11
   164    0.43004E+04   -0.36407E+02    0.11123E-05   -0.36407E+02    0.84839E+00   -0.34662E-08    0.11123E-05   -0.34662E-08    0.27389E-11
   165    0.43238E+04   -0.35823E+02    0.10953E-05   -0.35823E+02    0.83551E+00   -0.33826E-08    0.10953E-05   -0.33826E-08    0.26860E-11
   166    0.43469E+04   -0.35212E+02    0.10787E-05   -0.35212E+02    0.82269E+00   -0.33017E-08    0.10787E-05   -0.33017E-08    0.26345E-11
   167    0.43695E+04   -0.34573E+02    0.10623E-05   -0.34573E+02    0.80974E+00   -0.32233E-08    0.10623E-05   -0.32233E-08    0.25841E-11
   168    0.43917E+04   -0.33905E+02    0.10463E-05   -0.33905E+02    0.79702E+00   -0.31475E-08    0.10463E-05   -0.31475E-08    0.25350E-11
   169    0.44134E+04   -0.33208E+02    0.10306E-05   -0.33208E+02    0.78425E+00   -0.30740E-08    0.10306E-05   -0.30740E-08    0.24870E-11
   170    0.44346E+04   -0.32484E+02    0.10152E-05   -0.32484E+02    0.77167E+00   -0.30028E-08    0.10152E-05   -0.30028E-08    0.24401E-11
   171    0.44554E+04   -0.31730E+02    0.10001E-05   -0.31730E+02    0.75929E+00   -0.29338E-08    0.10001E-05   -0.29338E-08    0.23943E-11
   172    0.44756E+04   -0.30948E+02    0.98520E-06   -0.30948E+02    0.74704E+00   -0.28668E-08    0.98520E-06   -0.28668E-08    0.23496E-11
   173    0.44952E+04   -0.30139E+02    0.97061E-06   -0.30139E+02    0.73494E+00   -0.28018E-08    0.97061E-06   -0.28018E-08    0.23059E-11
   174    0.45145E+04   -0.29302E+02    0.95628E-06   -0.29302E+02    0.72329E+00   -0.27386E-08    0.95628E-06   -0.27386E-08    0.22632E-11
   175    0.45332E+04   -0.28437E+02    0.94220E-06   -0.28437E+02    0.71181E+00   -0.26772E-08    0.94220E-06   -0.26772E-08    0.22214E-11
   176    0.45513E+04   -0.27544E+02    0.92836E-06   -0.27544E+02    0.70073E+00   -0.26174E-08    0.92836E-06   -0.26174E-08    0.21805E-11
   177    0.45688E+04   -0.26625E+02    0.91476E-06   -0.26625E+02    0.69000E+00   -0.25592E-08    0.91476E-06   -0.25592E-08    0.21405E-11
