#    L    TT             EE             TE             PP             TP          
   229    0.56980E+04    0.12166E+01    0.32133E+02    0.25546E+07    0.23180E+04
   230    0.56908E+04    0.12599E+01    0.33850E+02    0.25430E+07    0.22994E+04
   231    0.56829E+04    0.13051E+01    0.35570E+02    0.25315E+07    0.22810E+04
   232    0.56744E+04    0.13522E+01    0.37293E+02    0.25200E+07    0.22627E+04
   233    0.56654E+04    0.14015E+01    0.39016E+02    0.25087E+07    0.22446E+04
   234    0.56555E+04    0.14527E+01    0.40741E+02    0.24974E+07    0.22266E+04
   235    0.56452E+04    0.15060E+01    0.42465E+02    0.24862E+07    0.22088E+04
   236    0.56341E+04    0.15614E+01    0.44189E+02    0.24751E+07    0.21911E+04
   237    0.56224E+04    0.16189E+01    0.45911E+02    0.24640E+07    0.21735E+04
   238    0.56101E+04    0.16786E+01    0.47631E+02    0.24531E+07    0.21561E+04
   239    0.55973E+04    0.17403E+01    0.49349E+02    0.24422E+07    0.21388E+04
   240    0.55837E+04    0.18042E+01    0.51062E+02    0.24314E+07    0.21217E+04
   241    0.55696E+04    0.18704E+01    0.52770E+02    0.24206E+07    0.21047E+04
   242    0.55549E+04    0.19387E+01    0.54473E+02    0.24100E+07    0.20878E+04
   243    0.55397E+04    0.20093E+01    0.56170E+02    0.23994E+07    0.20711E+04
   244    0.55238E+04    0.20821E+01    0.57860E+02    0.23889E+07    0.20545E+04
   245    0.55072E+04    0.21572E+01    0.59542E+02    0.23784E+07    0.20380E+04
   246    0.54902E+04    0.22346E+01    0.61216E+02    0.23680E+07    0.20216E+04
   247    0.54726E+04    0.23141E+01    0.62880E+02    0.23577E+07    0.20053E+04
   248    0.54544E+04    0.23963E+01    0.64534E+02    0.23475E+07    0.19892E+04
   249    0.54358E+04    0.24805E+01    0.66178E+02    0.23373E+07    0.19732E+04
   250    0.54165E+04    0.25672E+01    0.67809E+02    0.23272E+07    0.19573E+04
   251    0.53968E+04    0.26562E+01    0.69429E+02    0.23172E+07    0.19415E+04
   252    0.53764E+04    0.27475E+01    0.71035E+02    0.23072E+07    0.19258E+04
   253    0.53557E+04    0.28411E+01    0.72627E+02    0.22973E+07    0.19103E+04
   254    0.53343E+04    0.29372E+01    0.74205E+02    0.22875E+07    0.18948E+04
   255    0.53125E+04    0.30354E+01    0.75768E+02    0.22777E+07    0.18795E+04
   256    0.52902E+04    0.31362E+01    0.77316E+02    0.22680E+07    0.18643E+04
   257    0.52674E+04    0.32391E+01    0.78842E+02    0.22583E+07    0.18491E+04
   258    0.52442E+04    0.33445E+01    0.80357E+02    0.22488E+07    0.18341E+04
   259    0.52204E+04    0.34521E+01    0.81848E+02    0.22392E+07    0.18192E+04
   260    0.51963E+04    0.35621E+01    0.83328E+02    0.22298E+07    0.18044E+04
   261    0.51717E+04    0.36743E+01    0.84776E+02    0.22204E+07    0.17897E+04
   262    0.51465E+04    0.37889E+01    0.86214E+02    0.22110E+07    0.17751E+04
   263    0.51212E+04    0.39058E+01    0.87634E+02    0.22017E+07    0.17607E+04
   264    0.50953E+04    0.40249E+01    0.89029E+02    0.21925E+07    0.17463E+04
   265    0.50689E+04    0.41463E+01    0.90392E+02    0.21834E+07    0.17320E+04
   266    0.50422E+04    0.42700E+01    0.91745E+02    0.21743E+07    0.17178E+04
   267    0.50150E+04    0.43958E+01    0.93065E+02    0.21652E+07    0.17038E+04
   268    0.49874E+04    0.45240E+01    0.94367E+02    0.21562E+07    0.16898E+04
   269    0.49593E+04    0.46543E+01    0.95645E+02    0.21473E+07    0.16759E+04
   270    0.49309E+04    0.47867E+01    0.96898E+02    0.21384E+07    0.16621E+04
   271    0.49022E+04    0.49213E+01    0.98125E+02    0.21296E+07    0.16485E+04
