#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   164    0.48600E+04   -0.44052E+02    0.14256E-05   -0.44052E+02    0.98192E+00   -0.40550E-08    0.14256E-05   -0.40550E-08    0.28288E-11
   165    0.48893E+04   -0.43678E+02    0.14044E-05   -0.43678E+02    0.97132E+00   -0.40362E-08    0.14044E-05   -0.40362E-08    0.27795E-11
   166    0.49182E+04   -0.43277E+02    0.13836E-05   -0.43277E+02    0.96059E+00   -0.40179E-08    0.13836E-05   -0.40179E-08    0.27313E-11
   167    0.49469E+04   -0.42849E+02    0.13632E-05   -0.42849E+02    0.94950E+00   -0.39996E-08    0.13632E-05   -0.39996E-08    0.26841E-11
   168    0.49751E+04   -0.42392E+02    0.13432E-05   -0.42392E+02    0.93844E+00   -0.39807E-08    0.13432E-05   -0.39807E-08    0.26381E-11
   169    0.50030E+04   -0.41905E+02    0.13236E-05   -0.41905E+02    0.92710E+00   -0.39608E-08    0.13236E-05   -0.39608E-08    0.25930E-11
   170    0.50305E+04   -0.41392E+02    0.13043E-05   -0.41392E+02    0.91571E+00   -0.39392E-08    0.13043E-05   -0.39392E-08    0.25490E-11
   171    0.50575E+04   -0.40848E+02    0.12854E-05   -0.40848E+02    0.90427E+00   -0.39154E-08    0.12854E-05   -0.39154E-08    0.25060E-11
   172    0.50841E+04   -0.40277E+02    0.12668E-05   -0.40277E+02    0.89272E+00   -0.38890E-08    0.12668E-05   -0.38890E-08    0.24638E-11
   173    0.51102E+04   -0.39677E+02    0.12486E-05   -0.39677E+02    0.88104E+00   -0.38595E-08    0.12486E-05   -0.38595E-08    0.24226E-11
   174    0.51360E+04   -0.39049E+02    0.12307E-05   -0.39049E+02    0.86955E+00   -0.38262E-08    0.12307E-05   -0.38262E-08    0.23823E-11
   175    0.51613E+04   -0.38392E+02    0.12131E-05   -0.38392E+02    0.85794E+00   -0.37886E-08    0.12131E-05   -0.37886E-08    0.23428E-11
   176    0.51861E+04   -0.37706E+02    0.11958E-05   -0.37706E+02    0.84645E+00   -0.37465E-08    0.11958E-05   -0.37465E-08    0.23041E-11
   177    0.52104E+04   -0.36992E+02    0.11789E-05   -0.36992E+02    0.83499E+00   -0.36998E-08    0.11789E-05   -0.36998E-08    0.22662E-11
