#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   163    0.51800E+04   -0.47502E+02    0.15196E-05   -0.47502E+02    0.10414E+01   -0.44831E-08    0.15196E-05   -0.44831E-08    0.26510E-11
   164    0.52122E+04   -0.47173E+02    0.14977E-05   -0.47173E+02    0.10311E+01   -0.44535E-08    0.14977E-05   -0.44535E-08    0.26039E-11
   165    0.52441E+04   -0.46813E+02    0.14762E-05   -0.46813E+02    0.10205E+01   -0.44229E-08    0.14762E-05   -0.44229E-08    0.25579E-11
   166    0.52758E+04   -0.46424E+02    0.14551E-05   -0.46424E+02    0.10098E+01   -0.43912E-08    0.14551E-05   -0.43912E-08    0.25129E-11
   167    0.53071E+04   -0.46008E+02    0.14344E-05   -0.46008E+02    0.99861E+00   -0.43579E-08    0.14344E-05   -0.43579E-08    0.24690E-11
   168    0.53380E+04   -0.45562E+02    0.14141E-05   -0.45562E+02    0.98744E+00   -0.43229E-08    0.14141E-05   -0.43229E-08    0.24260E-11
   169    0.53685E+04   -0.45085E+02    0.13941E-05   -0.45085E+02    0.97597E+00   -0.42858E-08    0.13941E-05   -0.42858E-08    0.23841E-11
   170    0.53986E+04   -0.44580E+02    0.13745E-05   -0.44580E+02    0.96440E+00   -0.42463E-08    0.13745E-05   -0.42463E-08    0.23431E-11
   171    0.54283E+04   -0.44043E+02    0.13552E-05   -0.44043E+02    0.95276E+00   -0.42042E-08    0.13552E-05   -0.42042E-08    0.23030E-11
   172    0.54575E+04   -0.43477E+02    0.13363E-05   -0.43477E+02    0.94095E+00   -0.41591E-08    0.13363E-05   -0.41591E-08    0.22638E-11
   173    0.54861E+04   -0.42882E+02    0.13177E-05   -0.42882E+02    0.92899E+00   -0.41108E-08    0.13177E-05   -0.41108E-08    0.22254E-11
   174    0.55144E+04   -0.42257E+02    0.12995E-05   -0.42257E+02    0.91716E+00   -0.40589E-08    0.12995E-05   -0.40589E-08    0.21879E-11
   175    0.55423E+04   -0.41601E+02    0.12816E-05   -0.41601E+02    0.90519E+00   -0.40033E-08    0.12816E-05   -0.40033E-08    0.21511E-11
   176    0.55696E+04   -0.40915E+02    0.12640E-05   -0.40915E+02    0.89328E+00   -0.39436E-08    0.12640E-05   -0.39436E-08    0.21151E-11
   177    0.55964E+04   -0.40201E+02    0.12466E-05   -0.40201E+02    0.88137E+00   -0.38801E-08    0.12466E-05   -0.38801E-08    0.20799E-11
